Name,Author,Genre,Century Painted,Topic,Medium,Description,Wikilink
A Sunday Afternoon on the Island of La Grande Jatte,Georges Seurat,Post-Impressionism,19,Park scene,Oil,Depicts a park on the banks of the Seine river with many people,https://en.wikipedia.org/wiki/A_Sunday_Afternoon_on_the_Island_of_La_Grande_Jatte
American Gothic,Grant Wood,Regionalism,20,Couple in front of a house,Oil,Portrait of a farmer and his daughter in front of their house,https://en.wikipedia.org/wiki/American_Gothic
Black Iris,Georgia O'Keeffe,Modern art,20,Flower,Oil,Depicts a close-up of a black iris,https://en.wikipedia.org/wiki/Black_Iris
Campbell's Soup Cans,Andy Warhol,Pop art,20,Cans of soup,Synthetic polymer paint,Depicts 32 cans of Campbell's Soup,https://en.wikipedia.org/wiki/Campbell%27s_Soup_Cans
Christina's World,Andrew Wyeth,Realism,20,Woman on a field,Egg tempera,Depicts a woman looking at a farmhouse from a field,https://en.wikipedia.org/wiki/Christina%27s_World
Composition VII,Wassily Kandinsky,Abstract art,20,Abstract,Oil,Non-representational painting with colorful geometric shapes,https://en.wikipedia.org/wiki/Composition_VII
Composition VIII,Wassily Kandinsky,Abstract art,20,Abstract,Oil,Non-representational painting with colorful geometric shapes,https://en.wikipedia.org/wiki/Composition_VIII
Drowning Girl,Roy Lichtenstein,Pop art,20,Comic book,Oil,Depicts a woman crying while talking on the phone,https://en.wikipedia.org/wiki/Drowning_Girl
Girl with a Pearl Earring,Johannes Vermeer,Baroque,17,Portrait,Oil,Depicts a young girl with a pearl earring,https://en.wikipedia.org/wiki/Girl_with_a_Pearl_Earring
Guernica,Pablo Picasso,Cubism,20,War and suffering,Oil,Depicts the bombing of a Spanish town during the Spanish Civil War,https://en.wikipedia.org/wiki/Guernica_(Picasso)
Guernica 3D,Maestro Guillermo,3D printing,21,War and suffering,3D print,3D print reproduction of Picasso's Guernica,https://en.wikipedia.org/wiki/Guernica_(Picasso)
Las Meninas,Diego Velazquez,Baroque,17,Group portrait,Oil,Depicts a group portrait of the Spanish royal family and their servants,https://en.wikipedia.org/wiki/Las_Meninas
Les Demoiselles d'Avignon,Pablo Picasso,Cubism,20,Group of women,Oil,Depicts five nude women in a brothel,https://en.wikipedia.org/wiki/Les_Demoiselles_d%27Avignon
